date,topic,cluster_compound,n_sentences
2011-04-27,0,-0.037040227932661374,16
2011-04-27,1,0.3087662688927056,14
2011-04-27,2,0.19140987010974503,19
2011-04-27,3,0.04965705030044774,5
2011-04-27,4,-0.7229627506176907,7
2011-04-27,6,0.005562797294005861,5
2011-04-27,7,-9.520464768897341e-05,2
2011-04-27,9,0.243706505202681,8
2011-04-27,10,-0.8313897380634879,6
2011-04-27,11,0.027443903142336898,9
2011-04-27,12,-0.00508446960101594,2
2011-04-27,14,-0.5001398129430683,2
2011-04-27,16,-0.16282495616574502,6
2011-04-27,17,-0.3781874538908407,3
2011-04-27,18,-0.00028707586352538783,2
2011-04-27,20,-0.22655965014606352,5
2011-04-27,22,0.0003741370268623238,3
2011-04-27,23,-2.71014353074861e-05,2
2011-04-27,24,-0.030943472923733378,3
2011-04-27,25,0.08095154606246524,8
2011-04-27,26,-0.9889444575528614,1
2011-04-27,28,-0.37900362256914377,2
2011-04-27,30,-0.9141643610892061,1
2011-04-27,32,-0.016666990095150897,3
2011-04-27,33,0.5042088938081335,2
2011-04-27,34,0.0028956266721706925,4
2011-04-27,35,0.4994382473189489,2
2011-04-27,37,-0.5025747420924063,2
2011-04-27,41,-0.00026133171832043445,1
2011-04-27,42,-0.9999730123881818,1
2011-04-27,44,-0.181248229443554,1
2011-04-27,45,-0.03994065336883068,2
2011-04-27,46,-0.3184752632897994,3
2011-04-27,52,-0.039439340815988544,2
2011-04-27,53,-0.3372307087512019,14
2011-06-22,0,0.19129011911714094,7
2011-06-22,1,0.7218638138355828,7
2011-06-22,2,-0.022862835965503335,5
2011-06-22,3,0.29441751198010024,3
2011-06-22,4,-0.0001988576477363798,3
2011-06-22,6,-0.0006244522767815397,3
2011-06-22,7,-0.027273521770470932,4
2011-06-22,8,-0.004236401219259278,1
2011-06-22,9,-0.33337054317496495,3
2011-06-22,10,0.13838503798719692,6
2011-06-22,11,-0.000719421216823927,3
2011-06-22,12,-0.0007797839352861047,1
2011-06-22,13,0.21139323456426226,12
2011-06-22,14,0.024158229041560085,11
2011-06-22,16,0.011625279831412804,9
2011-06-22,17,-0.6665079972759287,3
2011-06-22,18,-0.0014577723619325412,5
2011-06-22,20,-0.0023380622545431605,5
2011-06-22,21,-0.6718506340539818,4
2011-06-22,22,-0.0003624799859608174,5
2011-06-22,23,-6.560713433856336e-05,4
2011-06-22,24,-0.000514696097070555,2
2011-06-22,25,0.16323322408389984,4
2011-06-22,26,-0.470627850798337,2
2011-06-22,28,-0.172079260412526,3
2011-06-22,29,-0.0032690940261090873,1
2011-06-22,30,-0.044699231050969956,2
2011-06-22,31,0.999715583195524,2
2011-06-22,32,-1.487935810473573e-05,1
2011-06-22,33,-0.0010692408177419566,1
2011-06-22,37,-0.9969602381179179,4
2011-06-22,39,-0.05659027909132419,1
2011-06-22,41,-0.39767519634915516,1
2011-06-22,44,-0.0005174007233108568,1
2011-06-22,45,-0.9996948464658999,1
2011-06-22,49,-0.9614770665066317,1
2011-06-22,50,-0.0032509649181520217,1
2011-06-22,51,0.010104230605065823,1
2011-06-22,52,-0.0003905536577804014,1
2011-11-02,0,-8.219844261248e-06,3
2011-11-02,1,0.9712258031941019,1
2011-11-02,2,-0.23806133231090007,9
2011-11-02,3,-0.027937584254686953,4
2011-11-02,4,-0.7177326928016328,8
2011-11-02,5,-0.5409834088059142,1
2011-11-02,6,0.000672795285936445,1
2011-11-02,7,-0.012218438672910281,3
2011-11-02,8,-2.0489535927481484e-05,2
2011-11-02,9,-0.17996123967975564,6
2011-11-02,10,0.5002553587860916,2
2011-11-02,11,-0.00012807265008518698,2
2011-11-02,12,-0.02323052359497524,1
2011-11-02,13,0.13297171132607236,7
2011-11-02,14,-0.666208272517603,3
2011-11-02,15,0.9999507822594751,1
2011-11-02,17,-0.7435463988181823,4
2011-11-02,18,-0.48750485595864745,2
2011-11-02,20,-0.5000283145225026,4
2011-11-02,21,-0.4999143432182791,2
2011-11-02,23,-6.667929631021252e-05,1
2011-11-02,25,-0.0043053468318277055,3
2011-11-02,31,0.0005616660295943987,8
2011-11-02,32,-0.0015529620813463652,2
2011-11-02,33,0.32021678406295867,5
2011-11-02,34,5.558962584473193e-05,1
2011-11-02,36,-0.00014361703995291464,2
2011-11-02,39,0.983535471597861,1
2011-11-02,41,-0.02104959581629373,1
2011-11-02,44,-0.014715299089833897,6
2011-11-02,45,0.509761884029596,3
2011-11-02,46,-4.7072768211364746e-05,1
2011-11-02,52,-0.1982127986921114,1
2012-01-25,0,-0.11853876342103023,9
2012-01-25,1,0.9999999838925362,1
2012-01-25,2,-0.06724414412947155,2
2012-01-25,3,0.44677311574923806,2
2012-01-25,4,-0.6665677979514157,3
2012-01-25,5,-0.1108965944684062,5
2012-01-25,6,-0.33271596118265734,3
2012-01-25,7,0.4981860701299041,2
2012-01-25,8,0.12913721415740534,3
2012-01-25,9,0.37377872597426176,1
2012-01-25,11,0.04935209943332571,6
2012-01-25,12,-0.007538414094597101,1
2012-01-25,13,0.15461025732022904,6
2012-01-25,14,0.008892689941453202,8
2012-01-25,15,-9.725249230996269e-05,2
2012-01-25,16,0.5068864354934135,6
2012-01-25,18,0.00011307621420542091,3
2012-01-25,19,-0.0927586555480957,1
2012-01-25,20,-0.3332543042912235,3
2012-01-25,21,0.9974311527392388,1
2012-01-25,24,-2.6669548527813447e-05,2
2012-01-25,25,-0.00021645444307427653,8
2012-01-25,26,-1.6944991898526496e-07,1
2012-01-25,28,-0.33777878461751243,5
2012-01-25,29,-0.9669074006378651,1
2012-01-25,30,-7.959457070683129e-05,2
2012-01-25,31,0.1874764696522021,11
2012-01-25,32,0.3267706846312232,3
2012-01-25,33,0.24673053111175136,4
2012-01-25,34,-0.0007126549467670884,1
2012-01-25,36,-0.00012554340293036148,2
2012-01-25,38,0.7370975315570831,1
